stock_name,Basic EPS (Rs.)_yr1,Basic EPS (Rs.)_yr2,Basic EPS (Rs.)_yr3,Basic EPS (Rs.)_yr4,Basic EPS (Rs.)_yr5,Diluted EPS (Rs.)_yr1,Diluted EPS (Rs.)_yr2,Diluted EPS (Rs.)_yr3,Diluted EPS (Rs.)_yr4,Diluted EPS (Rs.)_yr5,Cash EPS (Rs.)_yr1,Cash EPS (Rs.)_yr2,Cash EPS (Rs.)_yr3,Cash EPS (Rs.)_yr4,Cash EPS (Rs.)_yr5,Book Value [ExclRevalReserve]/Share (Rs.)_yr1,Book Value [ExclRevalReserve]/Share (Rs.)_yr2,Book Value [ExclRevalReserve]/Share (Rs.)_yr3,Book Value [ExclRevalReserve]/Share (Rs.)_yr4,Book Value [ExclRevalReserve]/Share (Rs.)_yr5,Book Value [InclRevalReserve]/Share (Rs.)_yr1,Book Value [InclRevalReserve]/Share (Rs.)_yr2,Book Value [InclRevalReserve]/Share (Rs.)_yr3,Book Value [InclRevalReserve]/Share (Rs.)_yr4,Book Value [InclRevalReserve]/Share (Rs.)_yr5,Dividend / Share(Rs.)_yr1,Dividend / Share(Rs.)_yr2,Dividend / Share(Rs.)_yr3,Dividend / Share(Rs.)_yr4,Dividend / Share(Rs.)_yr5,Revenue from Operations/Share (Rs.)_yr1,Revenue from Operations/Share (Rs.)_yr2,Revenue from Operations/Share (Rs.)_yr3,Revenue from Operations/Share (Rs.)_yr4,Revenue from Operations/Share (Rs.)_yr5,PBDIT/Share (Rs.)_yr1,PBDIT/Share (Rs.)_yr2,PBDIT/Share (Rs.)_yr3,PBDIT/Share (Rs.)_yr4,PBDIT/Share (Rs.)_yr5,PBIT/Share (Rs.)_yr1,PBIT/Share (Rs.)_yr2,PBIT/Share (Rs.)_yr3,PBIT/Share (Rs.)_yr4,PBIT/Share (Rs.)_yr5,PBT/Share (Rs.)_yr1,PBT/Share (Rs.)_yr2,PBT/Share (Rs.)_yr3,PBT/Share (Rs.)_yr4,PBT/Share (Rs.)_yr5,Net Profit/Share (Rs.)_yr1,Net Profit/Share (Rs.)_yr2,Net Profit/Share (Rs.)_yr3,Net Profit/Share (Rs.)_yr4,Net Profit/Share (Rs.)_yr5,PBDIT Margin (%)_yr1,PBDIT Margin (%)_yr2,PBDIT Margin (%)_yr3,PBDIT Margin (%)_yr4,PBDIT Margin (%)_yr5,PBIT Margin (%)_yr1,PBIT Margin (%)_yr2,PBIT Margin (%)_yr3,PBIT Margin (%)_yr4,PBIT Margin (%)_yr5,PBT Margin (%)_yr1,PBT Margin (%)_yr2,PBT Margin (%)_yr3,PBT Margin (%)_yr4,PBT Margin (%)_yr5,Net Profit Margin (%)_yr1,Net Profit Margin (%)_yr2,Net Profit Margin (%)_yr3,Net Profit Margin (%)_yr4,Net Profit Margin (%)_yr5,Return on Networth / Equity (%)_yr1,Return on Networth / Equity (%)_yr2,Return on Networth / Equity (%)_yr3,Return on Networth / Equity (%)_yr4,Return on Networth / Equity (%)_yr5,Return on Capital Employed (%)_yr1,Return on Capital Employed (%)_yr2,Return on Capital Employed (%)_yr3,Return on Capital Employed (%)_yr4,Return on Capital Employed (%)_yr5,Return on Assets (%)_yr1,Return on Assets (%)_yr2,Return on Assets (%)_yr3,Return on Assets (%)_yr4,Return on Assets (%)_yr5,Total Debt/Equity (X)_yr1,Total Debt/Equity (X)_yr2,Total Debt/Equity (X)_yr3,Total Debt/Equity (X)_yr4,Total Debt/Equity (X)_yr5,Asset Turnover Ratio (%)_yr1,Asset Turnover Ratio (%)_yr2,Asset Turnover Ratio (%)_yr3,Asset Turnover Ratio (%)_yr4,Asset Turnover Ratio (%)_yr5,Current Ratio (X)_yr1,Current Ratio (X)_yr2,Current Ratio (X)_yr3,Current Ratio (X)_yr4,Current Ratio (X)_yr5,Quick Ratio (X)_yr1,Quick Ratio (X)_yr2,Quick Ratio (X)_yr3,Quick Ratio (X)_yr4,Quick Ratio (X)_yr5,Inventory Turnover Ratio (X)_yr1,Inventory Turnover Ratio (X)_yr2,Inventory Turnover Ratio (X)_yr3,Inventory Turnover Ratio (X)_yr4,Inventory Turnover Ratio (X)_yr5,Dividend Payout Ratio (NP) (%)_yr1,Dividend Payout Ratio (NP) (%)_yr2,Dividend Payout Ratio (NP) (%)_yr3,Dividend Payout Ratio (NP) (%)_yr4,Dividend Payout Ratio (NP) (%)_yr5,Dividend Payout Ratio (CP) (%)_yr1,Dividend Payout Ratio (CP) (%)_yr2,Dividend Payout Ratio (CP) (%)_yr3,Dividend Payout Ratio (CP) (%)_yr4,Dividend Payout Ratio (CP) (%)_yr5,Earnings Retention Ratio (%)_yr1,Earnings Retention Ratio (%)_yr2,Earnings Retention Ratio (%)_yr3,Earnings Retention Ratio (%)_yr4,Earnings Retention Ratio (%)_yr5,Cash Earnings Retention Ratio (%)_yr1,Cash Earnings Retention Ratio (%)_yr2,Cash Earnings Retention Ratio (%)_yr3,Cash Earnings Retention Ratio (%)_yr4,Cash Earnings Retention Ratio (%)_yr5,Enterprise Value (Cr.)_yr1,Enterprise Value (Cr.)_yr2,Enterprise Value (Cr.)_yr3,Enterprise Value (Cr.)_yr4,Enterprise Value (Cr.)_yr5,EV/Net Operating Revenue (X)_yr1,EV/Net Operating Revenue (X)_yr2,EV/Net Operating Revenue (X)_yr3,EV/Net Operating Revenue (X)_yr4,EV/Net Operating Revenue (X)_yr5,EV/EBITDA (X)_yr1,EV/EBITDA (X)_yr2,EV/EBITDA (X)_yr3,EV/EBITDA (X)_yr4,EV/EBITDA (X)_yr5,MarketCap/Net Operating Revenue (X)_yr1,MarketCap/Net Operating Revenue (X)_yr2,MarketCap/Net Operating Revenue (X)_yr3,MarketCap/Net Operating Revenue (X)_yr4,MarketCap/Net Operating Revenue (X)_yr5,Retention Ratios (%)_yr1,Retention Ratios (%)_yr2,Retention Ratios (%)_yr3,Retention Ratios (%)_yr4,Retention Ratios (%)_yr5,Price/BV (X)_yr1,Price/BV (X)_yr2,Price/BV (X)_yr3,Price/BV (X)_yr4,Price/BV (X)_yr5,Price/Net Operating Revenue_yr1,Price/Net Operating Revenue_yr2,Price/Net Operating Revenue_yr3,Price/Net Operating Revenue_yr4,Price/Net Operating Revenue_yr5,Earnings Yield_yr1,Earnings Yield_yr2,Earnings Yield_yr3,Earnings Yield_yr4,Earnings Yield_yr5
360 ONE WAM Ltd.,13.95,46.29,73.25,29.04,18.09,13.66,46.36,72.41,28.36,17.57,14.32,47.36,74.18,23.50,19.48,66.09,273.47,276.47,266.81,262.68,66.09,273.47,276.47,266.81,262.68,34.50,55.00,30.00,60.00,5.00,3.14,10.02,15.68,24.81,0.57,16.55,57.46,79.91,38.83,6.57,16.16,56.19,78.60,37.52,5.05,14.48,51.21,75.74,32.04,3.33,13.92,46.09,72.86,22.19,17.96,526.43,573.36,509.73,156.52,"1,156.13",513.81,560.69,501.34,151.25,887.70,460.54,511.00,483.09,129.15,586.26,442.84,459.85,464.77,89.46,"3,158.19",21.06,16.85,26.35,8.31,6.83,24.15,15.53,25.77,13.97,1.90,12.24,9.90,23.66,7.68,5.68,0.52,0.31,0.10,0.00,0.19,0.03,0.03,5.09,8.58,0.18,2.23,4.14,93.26,12.36,5.49,2.23,4.14,93.26,12.36,5.49,0.00,0.00,0.00,0.00,0.00,0.00,118.81,95.68,89.93,55.86,0.00,115.63,93.98,84.93,51.48,0.00,-18.81,4.32,10.07,44.14,0.00,-15.63,6.02,15.07,48.52,"16,426.12","15,502.77","10,992.61","8,582.41",0.00,146.70,174.37,79.78,39.69,0.00,27.87,30.41,15.65,25.35,0.00,137.02,166.76,79.09,39.79,0.00,0.00,-18.81,4.31,10.06,44.13,6.52,6.11,4.49,3.70,0.00,137.03,166.76,79.09,39.80,0.00,0.03,0.03,0.06,0.02,0.00
Bandhan Bank Ltd.,"1,362.00",0.78,13.70,18.78,16.36,"1,362.00",0.78,13.69,18.76,16.34,13.62,1.46,14.33,19.28,17.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.62,0.78,13.69,18.78,16.36,,,,,,,,,,,,,,,,13.79,0.90,17.60,27.77,29.37,,,,,,,,,,,1.40,0.09,1.91,3.29,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,-28.04,100.00,100.00,92.63,,,,,,,,,,,,,,,
BASF India Ltd.,93.10,137.40,127.70,4.30,18.90,93.10,137.40,127.70,4.30,18.90,135.13,176.81,167.83,45.87,52.86,623.97,539.64,412.60,320.17,326.38,623.97,539.64,412.60,320.17,326.38,8.00,6.00,10.00,3.00,5.00,"3,151.95","3,026.04","2,207.98","1,744.29","1,391.93",167.26,216.08,150.00,69.43,41.12,125.20,176.68,109.83,27.84,7.14,125.53,175.54,194.03,1.07,16.60,93.07,137.41,127.65,4.28,18.88,5.30,7.14,6.79,3.98,2.95,3.97,5.83,4.97,1.59,0.51,3.98,5.80,8.78,0.06,1.19,2.95,4.54,5.78,0.24,1.35,14.91,25.46,30.93,1.33,5.78,18.99,30.89,24.40,7.00,1.73,6.13,9.73,10.74,0.40,2.12,0.00,0.00,0.00,0.35,0.62,2.15,2.33,185.81,164.55,156.45,1.47,1.37,1.27,1.17,1.26,0.87,0.83,0.79,0.65,0.68,2.27,2.23,6.22,5.05,4.97,0.00,7.27,2.35,116.90,15.89,0.00,5.65,1.78,10.89,5.67,0.00,92.73,97.65,-16.90,84.11,0.00,94.35,98.22,89.11,94.33,"9,498.38","13,225.93","8,803.28","5,267.82","7,243.54",0.70,1.01,0.92,0.70,1.20,13.12,14.14,13.56,17.53,40.69,0.72,1.02,0.94,0.64,1.06,0.00,92.72,97.64,-16.90,84.10,3.65,5.72,5.03,3.51,4.52,0.72,1.02,0.94,0.64,1.06,0.04,0.04,0.06,0.00,0.01
Bank of Maharashtra,3.87,1.72,0.88,0.67,-14.26,3.87,1.72,0.88,0.67,-14.26,4.26,2.11,1.13,1.03,-16.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,1.71,0.84,0.67,-17.38,,,,,,,,,,,,,,,,16.36,8.84,4.63,3.38,-44.09,,,,,,,,,,,0.97,0.49,0.27,0.23,-2.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.37,70.77,100.00,100.00,100.00,,,,,,,,,,,,,,,
Bata India Ltd.,24.83,7.85,-7.02,25.44,25.65,24.83,7.85,-7.02,25.44,25.65,47.76,26.67,13.57,48.45,30.63,111.56,141.15,136.92,147.56,135.89,111.56,141.15,136.92,147.56,135.89,13.50,54.50,4.00,4.00,6.25,268.55,185.77,132.83,237.57,227.84,64.44,36.69,19.85,69.91,42.47,41.51,17.87,-0.74,46.90,37.49,33.12,10.65,-9.16,37.74,37.21,24.83,7.85,-7.02,25.44,25.65,23.99,19.75,14.94,29.42,18.63,15.45,9.61,-0.55,19.74,16.45,12.33,5.73,-6.89,15.88,16.33,9.24,4.22,-5.28,10.70,11.25,22.25,5.56,-5.13,17.23,18.87,21.83,8.48,-0.36,20.54,26.05,9.77,2.86,-2.70,8.75,13.30,0.00,0.00,0.00,0.00,0.00,1.02,0.70,51.20,81.75,118.14,1.95,2.44,2.61,2.50,2.92,0.85,1.38,1.75,1.41,1.59,0.29,0.34,2.81,3.49,3.49,0.00,50.95,-56.94,24.57,15.59,0.00,14.99,29.47,12.90,13.05,0.00,49.05,156.94,75.43,84.41,0.00,85.01,70.53,87.10,86.95,"17,714.93","24,251.73","16,960.12","14,861.37","17,264.17",5.13,10.16,9.93,4.87,5.90,21.39,51.43,66.46,16.54,31.63,5.28,10.56,10.57,5.18,6.18,0.00,49.04,156.94,75.42,84.40,12.72,13.90,10.26,8.34,10.37,5.28,10.56,10.57,5.18,6.18,0.02,0.00,-0.01,0.02,0.02
Bank Of India,9.80,8.84,6.59,-9.10,-29.79,9.80,8.84,6.59,-9.10,-29.79,10.83,9.18,7.73,-7.85,-18.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.80,8.30,6.59,-9.02,-20.10,,,,,,,,,,,,,,,,8.44,8.94,5.32,-6.98,-13.60,,,,,,,,,,,0.49,0.46,0.29,-0.45,-0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.59,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,,
Bank Of Baroda,27.28,14.06,1.78,1.36,1.64,27.28,14.06,1.78,1.36,1.41,31.03,16.73,4.14,4.77,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.25,14.05,1.60,1.18,1.63,,,,,,,,,,,,,,,,15.74,10.40,1.17,0.71,0.87,,,,,,,,,,,0.96,0.56,0.07,0.04,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.84,79.73,100.00,100.00,100.00,,,,,,,,,,,,,,,
Bajaj Holdings & Investment Ltd.,153.80,146.50,17.80,164.10,70.80,153.80,146.50,17.80,164.10,70.80,156.66,149.36,20.69,166.99,71.19,"1,407.61","1,382.68","1,259.48",960.78,987.46,"1,407.61","1,382.68","1,259.48",960.78,987.46,123.00,115.00,40.00,40.00,32.50,168.49,159.62,33.02,194.43,89.28,163.32,155.99,31.04,187.99,82.10,160.46,153.14,28.19,185.16,81.74,159.84,152.85,27.85,184.03,81.74,153.79,146.51,17.84,164.15,70.82,96.93,97.72,93.99,96.68,91.95,95.23,95.93,85.37,95.23,91.54,94.86,95.75,84.33,94.65,91.54,91.27,91.78,54.04,84.42,79.32,10.92,10.59,1.41,17.08,7.17,11.03,10.70,2.18,19.23,8.26,10.48,10.14,1.36,16.71,7.13,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.03,19.80,8.99,119.16,101.23,82.79,49.62,292.69,119.16,101.23,82.79,49.62,292.69,0.00,0.00,0.00,0.00,0.00,0.00,88.73,0.00,44.16,56.48,0.00,87.03,0.00,43.41,56.18,0.00,11.27,0.00,55.84,43.52,0.00,12.97,0.00,56.59,43.82,"65,843.54","55,863.87","36,613.71","19,996.95","38,029.47",35.11,31.45,99.64,9.24,38.27,36.22,32.18,106.01,9.56,41.62,35.13,31.46,99.71,9.26,38.28,0.00,11.26,0.00,55.83,43.51,4.21,3.63,2.61,1.87,3.46,35.13,31.46,99.71,9.26,38.28,0.03,0.03,0.01,0.09,0.02
Balaji Amines Ltd.,70.18,95.04,71.51,35.11,36.44,70.18,95.04,71.51,35.11,36.44,79.88,104.04,78.72,42.57,42.48,432.19,368.01,276.97,206.06,177.46,432.19,368.01,276.97,206.06,177.46,10.00,6.00,4.00,3.20,2.80,532.79,591.97,378.93,283.65,293.15,104.74,141.77,104.52,58.65,61.30,95.09,132.77,97.31,51.19,55.27,94.25,130.59,95.67,47.44,51.25,70.23,95.04,71.51,35.11,36.44,19.65,23.94,27.58,20.67,20.91,17.84,22.42,25.68,18.04,18.85,17.68,22.06,25.24,16.72,17.48,13.18,16.05,18.87,12.37,12.43,16.24,25.82,25.82,17.03,20.53,21.05,31.45,28.87,18.80,24.17,14.66,18.12,17.93,10.29,11.84,0.00,0.00,0.00,0.15,0.16,1.06,1.28,95.04,83.21,95.24,8.77,2.47,2.43,1.77,1.54,5.74,1.85,1.95,1.35,0.99,4.32,7.54,12.80,9.97,6.66,0.00,4.20,0.00,7.40,7.13,0.00,3.84,0.00,6.10,6.12,0.00,95.80,0.00,92.60,92.87,0.00,96.16,0.00,93.90,93.88,"6,133.26","9,355.13","5,694.15",908.20,"1,659.20",3.55,4.88,4.64,0.99,1.75,18.07,20.37,16.81,4.78,8.35,3.65,4.90,4.65,0.88,1.67,0.00,95.79,0.00,92.59,92.86,4.49,7.89,6.36,1.22,2.76,3.65,4.90,4.65,0.88,1.67,0.04,0.03,0.04,0.14,0.07
Balrampur Chini Mills Ltd.,13.51,24.86,22.01,22.98,24.98,13.51,24.86,22.01,22.98,24.98,20.08,30.80,27.70,27.76,29.18,142.53,135.18,122.09,107.75,91.17,142.53,135.18,122.09,107.75,91.17,2.50,2.50,2.50,2.50,2.50,231.27,237.50,229.13,215.51,187.61,28.51,36.64,35.58,32.75,32.04,22.09,31.06,30.26,28.14,27.84,19.68,32.13,28.39,25.22,26.05,13.66,25.22,22.37,23.15,24.98,12.32,15.42,15.53,15.19,17.07,9.55,13.07,13.20,13.05,14.83,8.50,13.52,12.38,11.70,13.88,5.90,10.62,9.76,10.74,13.31,9.58,18.65,18.32,21.48,27.39,12.96,21.21,22.14,22.46,25.72,5.10,11.49,10.29,10.72,12.25,0.65,0.44,0.44,0.59,0.80,0.94,1.07,105.47,99.86,92.03,1.31,1.60,1.63,1.46,1.37,0.13,0.12,0.22,0.31,0.31,1.51,1.42,2.02,2.07,1.85,0.00,9.91,11.17,10.79,10.00,0.00,8.11,9.02,9.00,8.56,0.00,90.09,88.83,89.21,90.00,0.00,91.89,90.98,91.00,91.44,"9,855.99","11,202.27","5,636.34","3,681.20","4,789.44",2.11,2.31,1.17,0.78,1.12,17.14,14.98,7.54,5.11,6.54,1.71,2.06,0.94,0.48,0.73,0.00,90.08,88.82,89.20,89.99,2.78,3.62,1.76,0.96,1.50,1.71,2.06,0.94,0.48,0.73,0.03,0.05,0.10,0.22,0.18
Balkrishna Industries Ltd.,55.80,72.97,59.77,48.88,40.45,55.80,72.97,59.77,48.88,40.45,84.60,95.94,80.78,67.92,57.66,392.61,358.23,310.77,260.12,242.04,392.61,358.23,310.77,260.12,242.04,16.00,28.00,17.00,20.00,8.00,507.53,427.66,297.87,247.41,271.31,106.23,124.47,100.72,77.50,78.91,77.43,101.52,79.71,58.46,61.71,75.07,101.11,79.20,58.09,61.20,55.80,72.98,59.77,48.89,40.46,20.93,29.10,33.81,31.32,29.08,15.25,23.73,26.75,23.63,22.74,14.79,23.64,26.58,23.47,22.55,10.99,17.06,20.06,19.75,14.91,14.21,20.37,19.23,18.79,16.71,16.59,25.38,24.57,21.45,23.63,8.78,12.99,14.37,14.03,12.16,0.43,0.35,0.15,0.17,0.18,0.85,0.87,71.61,71.04,81.56,1.20,1.22,1.35,1.28,1.76,0.71,0.69,0.84,0.89,1.25,2.97,3.11,6.33,8.24,7.36,0.00,39.74,20.07,45.00,18.54,0.00,30.23,14.85,32.39,13.00,0.00,60.26,79.93,55.00,81.46,0.00,69.77,85.15,67.61,87.00,"40,942.51","43,741.64","33,512.63","16,107.67","19,998.37",4.17,5.29,5.82,3.37,3.81,19.94,18.18,17.21,10.75,13.11,3.85,5.00,5.68,3.20,3.67,0.00,60.25,79.92,54.99,81.45,4.97,5.97,5.44,3.04,4.11,3.85,5.00,5.68,3.20,3.67,0.03,0.03,0.04,0.06,0.04
Axis Bank Ltd.,31.17,42.48,22.15,5.99,18.20,31.02,42.35,22.09,5.97,18.09,31.13,45.72,24.60,8.51,20.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.13,42.43,21.50,5.77,18.19,,,,,,,,,,,,,,,,11.24,19.33,10.35,2.59,8.50,,,,,,,,,,,0.72,1.10,0.66,0.17,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,,
Bajaj Auto Ltd.,197.30,173.60,157.50,176.30,161.60,197.30,173.60,157.50,176.30,161.60,208.86,182.74,166.36,184.76,170.75,898.57,921.62,870.94,688.58,752.67,898.57,921.62,870.94,688.58,752.67,140.00,140.00,140.00,120.00,60.00,"1,287.38","1,145.41",958.67,"1,033.92","1,045.37",273.20,223.52,214.43,236.02,229.16,263.22,214.21,205.47,227.51,219.98,261.83,224.81,205.24,227.40,231.65,198.88,173.44,157.40,176.24,161.56,21.22,19.51,22.36,22.82,21.92,20.44,18.70,21.43,22.00,21.04,20.33,19.62,21.40,21.99,22.15,15.44,15.14,16.41,17.04,15.45,22.13,18.81,18.07,25.59,21.46,28.72,22.76,22.96,32.08,28.28,18.07,15.72,14.44,20.58,17.07,0.00,0.00,0.00,0.00,0.00,1.16,1.04,0.99,120.76,110.48,1.71,2.13,2.51,1.55,1.45,1.44,1.87,2.25,1.30,1.25,18.27,16.28,14.32,28.13,31.46,0.00,80.71,0.00,102.12,37.13,0.00,76.60,0.00,97.42,35.13,0.00,19.29,0.00,-2.12,62.87,0.00,23.40,0.00,2.58,64.87,"109,611.67","105,104.05","105,720.62","58,286.26","83,429.99",3.01,3.17,3.81,1.95,2.76,14.18,16.25,17.04,8.53,12.58,3.02,3.19,3.83,1.96,2.79,0.00,19.28,0.00,-2.12,62.86,4.32,3.96,4.22,2.94,3.87,3.02,3.19,3.83,1.96,2.79,0.05,0.05,0.04,0.09,0.06
Bayer CropScience Ltd.,168.71,143.58,109.72,105.58,78.46,168.71,143.58,109.72,105.58,78.46,186.57,158.08,126.19,120.22,111.05,604.03,562.20,568.00,572.94,649.80,604.03,562.20,568.00,572.94,649.80,130.00,150.00,115.00,25.00,18.00,"1,144.70","1,054.43",949.06,803.88,923.41,220.07,192.81,194.99,176.48,155.74,202.36,178.44,178.62,161.94,142.97,220.51,188.60,176.95,129.87,139.94,168.86,143.72,109.82,105.68,98.28,19.22,18.28,20.54,21.95,16.86,17.67,16.92,18.82,20.14,15.48,19.26,17.88,18.64,16.15,15.15,14.75,13.63,11.57,13.14,10.64,27.95,25.56,19.33,18.44,15.12,31.31,29.74,30.05,26.96,20.76,16.20,14.82,11.63,12.37,9.49,0.00,0.00,0.00,0.00,0.00,1.14,1.10,100.51,94.10,89.23,2.19,2.15,2.26,2.65,2.34,1.18,1.24,1.41,1.80,1.37,1.53,1.82,3.22,3.75,2.74,0.00,104.47,104.82,21.41,37.82,0.00,94.98,91.22,18.82,33.47,0.00,-4.47,-4.82,78.59,62.18,0.00,5.02,8.78,81.18,66.53,"17,307.30","21,584.03","22,612.20","14,460.29","14,456.49",3.37,4.56,5.31,4.01,4.56,17.52,24.93,25.83,18.25,27.06,3.54,4.73,5.59,4.30,4.75,0.00,-4.47,-4.82,78.58,62.17,6.70,8.86,9.34,6.04,6.75,3.54,4.73,5.59,4.30,4.75,0.04,0.03,0.02,0.03,0.02
Bajaj Finserv Ltd.,4.60,26.70,11.20,41.90,19.30,4.60,26.60,11.20,41.90,19.30,4.62,26.92,11.53,42.09,19.40,32.95,274.49,238.84,222.16,198.62,32.95,274.49,238.84,222.16,198.62,0.80,4.00,3.00,5.00,2.50,6.76,39.20,20.34,49.00,26.58,6.14,35.66,15.70,43.03,20.58,6.12,35.39,15.40,42.85,20.48,6.12,35.39,15.40,42.85,20.48,4.60,26.66,11.23,41.90,19.30,90.83,90.96,77.15,87.80,77.42,90.53,90.28,75.71,87.43,77.05,90.53,90.28,75.71,87.43,77.05,68.04,68.00,55.22,85.51,72.60,13.95,9.71,4.70,18.86,9.71,18.46,12.80,6.39,19.12,10.21,13.77,9.55,4.62,18.52,9.54,0.00,0.00,0.00,0.00,0.00,0.22,0.15,8.36,21.66,13.14,126.96,105.63,107.24,98.41,30.82,126.96,105.63,107.24,98.41,30.82,0.00,0.00,0.00,0.00,0.00,0.00,11.25,0.00,17.89,9.06,0.00,11.14,0.00,17.82,9.02,0.00,88.75,0.00,82.11,90.94,0.00,88.86,0.00,82.18,90.98,"201,671.19","271,345.87","153,728.70","73,036.32","111,901.88",187.34,434.97,474.87,93.65,264.51,206.25,478.19,615.46,106.66,341.64,187.35,435.00,475.25,93.66,264.65,0.00,88.74,0.00,82.10,90.93,38.43,62.12,40.48,20.66,35.42,187.35,435.00,475.26,93.66,264.65,0.00,0.00,0.00,0.01,0.00
Bajaj Finance Ltd.,170.37,105.39,65.85,83.25,67.52,169.51,104.63,65.33,82.60,66.95,177.57,111.15,70.77,85.87,69.82,851.90,697.10,597.39,530.26,339.15,851.90,697.10,597.39,530.26,339.15,30.00,20.00,10.00,10.00,6.00,590.31,461.86,391.16,397.08,301.40,390.61,273.73,217.94,248.96,209.96,383.27,267.85,212.92,244.45,207.58,229.66,142.32,89.14,113.48,104.63,170.23,105.26,65.75,81.36,67.44,66.17,59.26,55.71,62.69,69.66,64.92,57.99,54.43,61.56,68.87,38.90,30.81,22.78,28.57,34.71,28.83,22.79,16.80,20.48,22.37,19.98,15.10,11.00,15.34,19.88,44.37,11.88,11.69,14.72,11.26,4.75,3.77,2.85,3.53,3.58,3.14,2.93,2.78,3.28,4.41,0.19,0.18,17.01,17.26,16.02,1.30,5.16,4.71,3.53,49.12,1.30,5.16,4.71,3.53,49.12,0.00,0.00,0.00,0.00,0.00,0.00,9.48,0.00,23.38,5.94,0.00,8.98,0.00,22.15,5.73,0.00,90.52,0.00,76.62,94.06,0.00,91.02,0.00,77.85,94.27,"497,788.02","558,081.02","408,237.90","236,478.55","260,598.50",13.95,20.03,17.35,9.93,14.99,21.08,33.79,31.14,15.83,21.52,9.51,15.72,13.16,5.58,10.04,0.00,90.51,0.00,76.61,94.05,6.59,10.41,8.62,4.18,8.92,9.51,15.72,13.16,5.58,10.04,0.03,0.01,0.01,0.04,0.02
Zydus Wellness Ltd.,10.44,2.00,-29.99,-7.06,22.83,10.44,2.00,-29.99,-7.06,22.83,10.99,2.44,-28.08,-6.55,17.15,634.02,628.66,631.67,557.53,576.70,634.02,628.66,631.67,557.53,576.70,5.00,5.00,5.00,5.00,5.00,39.52,33.99,17.89,26.61,44.16,8.15,1.58,2.68,15.37,23.04,7.59,1.14,2.14,14.86,22.58,7.41,0.82,-29.57,-9.53,16.85,10.44,2.00,-28.62,-7.06,16.70,20.60,4.66,15.00,57.75,52.16,19.21,3.34,11.93,55.83,51.14,18.75,2.41,-165.27,-35.80,38.16,26.41,5.87,-160.01,-26.54,37.82,1.64,0.31,-4.53,-1.26,2.89,1.19,0.18,0.33,1.81,2.69,1.63,0.31,-4.42,-0.84,1.94,0.00,0.01,0.01,0.47,0.47,0.06,0.05,0.03,3.19,5.13,5.96,1.39,1.41,1.03,0.77,5.65,1.29,1.25,0.89,0.73,18.28,12.04,6.06,12.43,44.83,0.00,250.55,0.00,-141.59,32.46,0.00,204.76,0.00,-152.64,31.60,0.00,-150.55,0.00,241.59,67.54,0.00,-104.76,0.00,252.64,68.40,"9,846.66","9,537.92","12,518.68","8,965.00","9,010.38",39.15,44.11,109.98,58.43,35.39,189.98,946.22,732.94,101.16,67.83,39.22,44.16,110.28,48.74,29.41,0.00,-150.55,0.00,241.59,67.53,2.44,2.39,3.12,2.33,2.25,39.22,44.16,110.28,48.74,29.41,0.01,0.00,-0.01,-0.01,0.01
